cookie,count
78d1b4da-5af0-11ed-9558-4dd10d649120,5

84341903-5d03-11ed-9adb-d556999053cc,2
e301efec-5d92-11ed-8190-9b8909d096a3,13
c18c5338-5d93-11ed-8190-9b8909d096a3,10
236c4ddc-5d95-11ed-8190-9b8909d096a3,32
bc4eaade-5d97-11ed-8190-9b8909d096a3,1
e5b45536-5d97-11ed-8190-9b8909d096a3,1
ebe83c38-5d97-11ed-8190-9b8909d096a3,1
0a5e222c-5d98-11ed-8190-9b8909d096a3,1
15aa9c09-5dea-11ed-b03b-5dc252b8bf84,11
b72f7cc1-5df3-11ed-b03b-5dc252b8bf84,7
20260054-5f37-11ed-bee8-bfa3e52f1b72,1
5bf4dfe2-5f64-11ed-a615-3b396ad487fd,2
0c842672-5f65-11ed-a615-3b396ad487fd,12
5e96c27e-5f6c-11ed-a615-3b396ad487fd,1
80ae055c-5f6c-11ed-a615-3b396ad487fd,30
ca672b4a-5f6e-11ed-a615-3b396ad487fd,8